,0
114,Ordered the item on the 7th.. wasnt shipped until the 14th!! WAY BEHIND THE ESTIMATED ARRIVAL DATE!
115,M I S L A B E L E D......( H I D D E N  ---  L A B E L L E D )......T E A ?????
116,"Dog hates eating it, gives him diarrhea and I can't blame him from the looks of it"
117,A big hit with my two 3-year old felines. And a Google check okays its fat content
118,People are always surprised how really good this tea is -- non-caffeine & happens to be healthy to boot.
119,"Ethically responsible and organic, but there are other brands to try to figure out what tastes best to you"
120,Caveat Emptor on this Caviar!  Well packaged Budget Caviar - But I got Sick from this!
121,F L A V O R.....O K....E X C E P T....I N....C O F F E E
122,I love this stuff - can't tell the tast difference between this and the sugared version
123,"Our puppy LOVES these treats, but doesn't want to try to get them out of the kong! :P"
124,The best almond flavor out there. How could something so delish be so good for you?
125,A good flavor but not bold in comparison to some of the other flavors and more salt!
126,"Which is it? ""14oz box, pack of 14"" or ""Pack of seven, 14 ounces each (total of 98 ounces)"" ?"
127,Training is everything. The peach was once a bitter almond; cauliflower is nothing but cabbage with a college education.-M.Twain
128,Especially Good To Have When I Have A Cold! Must Have It Hot To Be Effective
129,"I am a BIG fan of ginger, but I'm not quite sure what, exactly, to make of this drink mix!"
130,"Tastes like it is supposed to, but not a flavor or aftertaste that I enjoy at all."
131,"The manna is quite good, but what a royal pain to use - if you live in cold weather areas, order this in summer"
132,"The manna is quite good, but what a royal pain to use - if you live in cold weather areas, order this in summer"
133,"My dog loves these, but to be sure, this is dog food, not for average human consumption."
134,Way too salty -  ended up cooking it into a custom sauce to make it edible..
135,Tastes like coconut water from a fresh coconut stored in a plastic jug in the trunk of your car for a few days!
136,MOST AWESOME STRAWBERRY PRESERVES! Taste like fresh homemade. My family's favoriete strawberry. We buy by the case.
137,"This delice Meguez a is way too expensive, and doesn't come close the original North African Merguez"
138,I love these cookies. Found them in Sherman .Texas need them in Centennial.Co. Albertsons had them in Sherman.  Sssooo good!!
139,"Opinion of a non-tea expert: It's delivers on the ""earthy,"" but maybe not the most refined experience?"
140,Product was exactly perfect for the creme de menthe cookies.  The store I shop at did not have them.
141,The best almond flavor out there. How could something so delish be so good for you?
142,A good flavor but not bold in comparison to some of the other flavors and more salt!
143,"My dog is happy, healthy, and I heartily recommend Eagle Pack Senior for all older dogs!"
144,STAY AWAY - WILL RAISE YOUR BLOOD SUGAR - NOT GOOD FOR LOW CARB OR DIABETICS
145,Excellent stuff i put it all in food and bakings and it help u lose weight
146,I bought a bottle at my local store and ran to amazon to buy a case
147,REALLY GREAT TASTING COFFEE! BLEND this for a Great Smooth cup of Coffee! Easy to do
148,"Whether you call it Rooster Sauce or Thai Ketchup, it is a condiment you won't put down"
149,My cats LOVE this Paw Licking Chicken! But BEWARE of  the fish flavor's of Weruva that contain Menadione
150,"Green Eggs & Chicken, 3 Paws Up (includes a 17 yo and 7 yo picky Debutantes). Great Human Grade Cat Food Experience"
151,it smells so bad I could not use this + THIS OIL IS NOT EVEN A BARGAIN!
152,Purchased a bag with way too much salt - Company provided a replacement: almonds were perfect
153,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
154,C H I P.....C H I P.....H O O R A Y....!!!!!  :  )  ( B A C K Y A R D.....B A R B E C U E )
155,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
156,This is a MIX. NOT the actual made blondies as pictured or as it seems like it would be from the description.
157,Haribo Gummi Bears are the best but these don't taste the same as the gold bags
158,It smells great!! It's very mild though so if you have a lot of acne or scarring you may want something else.
159,"Y U M M Y......E X P E N S I V E.....&...,,..A ..,,,S U R P R I S E..!"
160,My 4.8lb Chihuahua loves these! So do her doggie friends that live at the vet clinic I work at!
161,"Not the worst k cup out there, but there are too many better alternatives to justify this one..."
162,I love these cookies. Found them in Sherman .Texas need them in Centennial.Co. Albertsons had them in Sherman.  Sssooo good!!
163,"holistic health approach-- high in fat and protein-- ask your vet first if your dog is old, a pup, or overweight"
164,"(1) replacement of smaller 12.9 oz cans before customers click ""place the order"" button (2) ""fishy"" smell of formula"
165,"I don't recommend drinking energy drinks on a regular basis, but these are great for the times when you actually need the boost!"
166,"More Like 3 Hour Energy For Me, But Still Better Than All The Other Energy Drinks"
167,I loved these as a kid but there''s no place for them in my cabinets now
168,A Family Favorite Baking Essential you should always have on hand!  Hard to find in stores these days.
169,AWESOME ORGANIIC REAL FRUIT SNACK FOR ALL AGES! MY WHOLE FAMILIE LOVES THESE! SOFT AND CHEWY NOT HARD!
170,Ok but I am not a fan of this chocolate - smells good when you open it though
171,"Still a cinnamon tea, but not as overpowering as in Stash's Organic Chai Black & Green Tea"
172,"""For those of you who like this kind of thing, this is the kind of thing you will like."""
173,Sunshine's Mozzarella Cheez-It tastes great but there is no way this should be priced over $5 per box
174,"I liked it; I still prefer black, hot coffee, but this could be an occasional switch"
175,"Coffee as good as you are likely to find in a can, best i have had!"
176,"2 1/2 Stars -- Too Bitter, Watery With Too Much Of A Caffeine Jolt For My Taste!"
177,Low calorie quick shot of espresso and caffeine - bitter and strong - you may like it
178,"Tastes pretty good but has a slight artificial taste, high cost for a very small 6.8 oz can"
179,not satisfied with new one in the bag. got some yesterday and we both said it is not the same.
180,"Have bought this several times, and it's best to get it locally, often missing or broken items"
181,"Awesome tomato soup with big Elmo shaped noodles. Kids, Grankids & adults all love this organic soup."
182,Great item....Horrible waste of money on amount that is actually in the container! FILL IT UP!!!
183,"granulated onion and sugar + pepper = icky taste,  doesn't make any sense to call these ""sea salt and pepper"" flavor"
184,Spicy Flavor Almost Totally Hides the Taste of the Cashews: Good for a Snack with Beer
185,D E L I C I O U S LY.......D I F F E R E N T.......A......R E A L....B A R G A I N.....!.!.!.!.!
186,B E S T.......I N S T A N T.....I.'V E.....F O U N D !!
187,My dog loves them.  The only concern I have is the best buy date.  If you only buy a bag at a time no problem.
188,"The milk product is delicious.  The packing did not work well, half of the boxed milk was damaged."
189,"Holy moly, don't think ""I'll eat just a taste"" because this is addictiive and you'll likely keep eating."
190,"If you enjoy rice noodles, can tolerate jellyfish noodles, and asian food - these are fantastic!"
191,If you enjoy coffee with any sort of coffee to it... this is not for you
192,Makes  one wonder how they get these to taste and smel just like the real thing
193,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
194,C H I P.....C H I P.....H O O R A Y....!!!!!  :  )  ( B A C K Y A R D.....B A R B E C U E )
195,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
196,"Don't waste your money.  I used to by Oh Boy Oberto pork rinds several years ago, and they were very good."
197,This is a great sauce to add directly to your food or to add to other sauces to jazz them up!
198,a delicious tea that makes the best iced tea - no need to add any sweeteners
199,Lipton to Go - Tropical Mango & Pineapple in a Bottle or load it up in a CamelBak®
200,"Natural?  I do not think so!  States sweetened with Honey! On the box, under ingredients, it also has Sucralose in it!"
201,This is a big hit at parties.  You can premix a pitcher and serve frozen or on the rocks.
202,I love this Ghirardelli Mint Chocolate. Perfect for after dinner or dessert. It tastes just right
203,used 3-4 times now  (a heads up to those who can't be caught dead with flakes)
204,"CLEAR SCALP & HAIR BEAUTY Volumizing Root Boost Nourishing Shampoo, 12.9 Fluid Ounce -- well worth its volume in gold!"
205,"A Little Tough To Chew, But a Good Choice If Your Looking For an All-Natural Sugar-Free Gum"
206,It's hard to believe that something that tastes so good has Taco Bell on the label!
207,"You've definitely had bolder chipotle sauce, but this will do in a pinch and makes a decent substitute for ketchup, mayo, etc."
208,Awful tasting protein partially masked by rich chocolate - 4x as expensive as rice protein alternatives
209,A Tasty hot sauce with a very fresh taste. Quite mild yet very tasty. Highly recommended!.
210,Dog love them and one of these works for about 3 to 4 days on our boxer.
211,"son excelentes, les encantan a mis perritos y le mantienen el aliento fresco. llegaron a tiempo y en perfecto estado."
212,Greenies are not digestible -your puppy will vomit and have diarrhea and will get very sick
213,"Absolutely delicious. Great over noodles, rice, mashed potatoes, anything. Even good by itself as soup with bread."
214,A VERY VERSITILE PRODUCT HERE.  ITs the only way my wife can get me to eat some of my veggies
215,Taste is better than some energy drinks I've tried - and it's got the usual ingredients for boosting energy
216,"At just over two bucks per can of tasty energy boost, this is a good buy if you're an energy drink fan!"
217,"Still a cinnamon tea, but not as overpowering as in Stash's Organic Chai Black & Green Tea"
218,We have so many flies in the house.  Have had this product for 3 weeks and it has only stuck 1 fly thus far.
219,"Doesn't work. I have 4 different types of traps, and this is the only one that is empty."
220,"Only one star taken off for not putting the word ""snack"" on the packaging and the clusters being too small."
221,My little yorkie is 14 years old and developed digestive problems a couple of years ago
222,Great Tasting - Tested for Mecury & Omega 3's - Read the Labels & Research Yourself
223,"If You Like A Heavily Medicinal-Tasting Soft Drink With A Long-Lasting Unpleasant Aftertaste,Then Switch Black Cherry Is For You"
224,"Sweet and tart - The Switch Black Cherry is a yummy treat, but it's soooo sweet."
225,My little yorkie is 14 years old and developed digestive problems a couple of years ago
226,"It's so good, I don't even want to tell you because I'm afraid the price will go up (law of supply and demand)"
227,"Bariani Olive Oil  From Taylors Mkt Ca.. -- about as close to. ""methods at the time of Christ"" as you can get!"
228,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
229,C H I P.....C H I P.....H O O R A Y....!!!!!  :  )  ( B A C K Y A R D.....B A R B E C U E )
230,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
231,"Awesomely delicious. PORTABLE FRUIT for anyone. Organic, low sodium, nothing aritfical, gluten free. We all ages 2 to 84 love."
232,"love this stuff, dn't need cream/mik or sugar for my coffee, saves 100+ calories per cup!"
233,"You stuck me with this  I Never ordered it ,  ried to cancel but you refused"
234,Mild with a tasty Chipotle flavor. One of my top two Chipotle sauces that I've taste tested - out of seven
235,Excellent Organic apple flavor hard candy. Great for eating or use as organic soothing throat drops. Not for small children.
236,"Does not taste like Lipton Yellow Label tea sold in Italy, possibly stale, no expiration date on pkg."
237,Dog Lost weight and customer service was no help Do not feed if dog has yeast infection
238,The best almond flavor out there. How could something so delish be so good for you?
239,A good flavor but not bold in comparison to some of the other flavors and more salt!
240,"Great Idea for smaller dogs. MJ loves this Bacon flavor, but she wants to bite the bottle."
241,"Definition of NON-GE for this product, from Now Foods. I have not used this item, am just giving definition."
242,"Great Stuff,easy to do and we had kefir withing 48 hours. It is now a regular part of our diet and we actually feel better."
243,I'll never feed my dog's Chicken Soup for the Dog Lover's Soul or any other food made by Diamond
244,"A Weak, Sweet and  Heavy on the Vinegar hot sauce. Far below average. You can do MUCH better!"
245,"Really Lovely Taste. My fave low-carb cookie, and it's GLUTEN FREE and doesn't make for tummy rumbles."
246,"If you like the type of ""beef straw"" products like this, then you won't be dissapointed."
247,Excellent source of formula for babies who cannot have milk based blend...raised two my own three on this formula.
248,I wouldn't normally review like this but it came in my Amazon email so I just had to take a swing at it.
249,This is the first decaf I've ever had where you could not tell it was decaf!
250,I didn't like these at all. I've ate a lot of fat free and low fat but these were really bad.  Help I like cheetos!
251,"My mission was to find the perfect Chew Toy , my dog couldn't destroy within seconds!......"
252,"If you want an old-fashioned, homemade taste in your cookies, Country Choice oatmeal raisin might be your cookie of choice ..."
253,"Unpleasant aroma and taste. As another reviewer said ""I just couldn't get past the smell"". Salt & an odd SeaWeed flavor dominant"
254,My little yorkie is 14 years old and developed digestive problems a couple of years ago
255,"If Your Kids are Stupid Enough to Think Water is Cool When It's In a Bottle with a Cartoon Character, Then Fork Over Your Cash"
256,"Great Mix of High Protein, Low Fat and Low Carbs - and it's Turkey, not fish!"
257,"Great Idea for smaller dogs. MJ loves this Bacon flavor, but she wants to bite the bottle."
258,This is a light and refreshing drink that is good for you when are hot from exercise or working outside!
259,If you like Real black tea that is rich and dark but not bitter..this is the tea for you!
260,Warning: L&A Pineapple Coconut Juice-Not Kosher or Pure as Advertised: May Cause Severe Gastrointestinal Cramps and Constipation
261,"Izze flavors are actually a mix of different juices, pom tasted like cranberry but grapefruit was better."
262,I love these smoothies.  I bought mine at Costco and they have discontinued for some reason.
263,"Our dogs love this food and treat it like a snack, it looks and smells good to me"
264,Chef Michael's Dry Dog Food - My Little Pooch LOVES IT Plus It's The Right Price!
265,"Our dogs love this food, but I don't know if it is any better for them than any other mass produced dog food."
266,"You're dogs will love it, owners will love it for the price but it may not be the healthiest..."
267,We've been using Chef Michael's for a long time and our satisfaction level is high ...
268,"Dog enjoyed it but ingredients no better than any other Purina brand - Lotsa CORN, WHEAT & GLUTEN"
269,Barking up the wrong treat: Chef Michael's Grilled Sirloin Dry Dog Food 4.5 Pound Bag by Purina
270,EXPENSIVE  and depends on the dog. Our MJ refused to eat the green bits just picked out the red.
271,Just tried to eat it but it was white and taste very bad. I recieved a bad box. Don't eat it if you see the entire bar is white!
272,This is the best spray for baked goods that require coating the bakeware with oil and flour.
273,I love these cookies. Found them in Sherman .Texas need them in Centennial.Co. Albertsons had them in Sherman.  Sssooo good!!
274,"Excellent spice combination great on pizza, pasta , salad or anything. Contains dehydrated garlic, chilli, basil, parsley, salt"
275,"A solid, stately flower that needs a little attention . . . at a great price"
276,"I  wanted  to  try  this  drink  after  watching  Semi  Pro. Try  it,  and  it  was  soo  good"
277,People who like this sort of thing will find this the sort of thing they like.
278,Super fast shipping and Great Value if your addiction to K-Cups is causing your family to starve.
279,A great-tasting dinner entree you can whip up in a few minutes... what's not to like?
280,"Cooking this may take a small amount of trial and error, but for Celiacs, it's the best I've found"
281,The real stuff.  Shark brand Sriracha loses the artifical qualities of Huey Fong but has all the fire and yum.
282,Great Buy!!!  By buying in bulk and auto-ship it cuts the cost down to approx. 0.62 per bag!  Cost in stores is $1.00
283,"Walden Farms Thick and Spicy BBQ Sauce, Sugar Free, Calorie Free, Fat Free, Carb Free, 12 oz."
284,I wouldn't buy any dog food made by Diamond (chicken soup is only one of many)
285,Awesomely Delicious Gluten Free BBQ Chips! Great smokey sweet flavor enhanced by that great kettle cooked crunch.
286,AWESOME sweet BAR B Q chips with a very crispy hard crunch. Best BBQ chips out there.
287,"Fig bar *with*, not 'covered by', dark chocolate. Good alone, but seemingly ideal as an ingredient/filling/topping/accompaniment"
288,The best almond flavor out there. How could something so delish be so good for you?
289,A good flavor but not bold in comparison to some of the other flavors and more salt!
290,"If you do not want expired product, DO NOT ORDER FROM BURBANK :""OTTOS (EUROPEAN) FOOD STORE""."
291,Good price (w/ S&S); crunchy flakes&low fat. 16.7oz is all cereal & f.dried strwberries. But a little too sweet...
292,One star is the minimum - I would give 0 stars -What kind of subscription is this if they DOUBLE the price from time to time?
293,If I ate more than 3/day my stomach was all messed up. More spicy than I thought. I was thinking like chille pepper in chille
294,Kiddos LOVE these fruit and veggie blends-- brilliant way to get in extra nutrients at snack time!
295,Be aware that this is a soft pouch of coffee for steeping in a cup of hot water.
296,These are the best raisins on the market and I understand this is a totally subjective statement
297,Two Tastes - Salt and Red Pepper - yet I like it. Add an egg and it really improves. Unfortunately it is far from healthy
298,"If you like a dark and toasty big mug with just one K-cup, this will do it."
299,"I was very disappointed to get a 200gr package of Chocolate for the price I paid for, this was to be a gift!"
300,"was not fresh !!! i bought six pack, open the first one and was thnking it was just this one and all the six pack was humis and"
301,"Yes it does have an odor that some will find disagreeable, but it works for me and I will continue to purchase it"
302,I can say this is great stuff ! The BEST tuna product I have ever had !
303,"Yes it does have an odor that some will find disagreeable, but it works for me and I will continue to purchase it"
304,"Fabulous tasting coconut water...NOT unnaturally sweet in the larger cans. YES, too sweet and AWFUL in the small cans."
305,Great Buy!!!  By buying in bulk and auto-ship it cuts the cost down to approx. 0.62 per bag!  Cost in stores is $1.00
306,A disaster supply MUST HAVE.. Sooooooooooooo tasty in just bottled water ..........BUY only Amazon Sub & Save
307,"My Order was Placed June 30, 2011 Has not been shipped yet, 23 Days after Ordering!"
308,"Great Tea - Buy on Amazon as it can be difficult to find being a ""seasonal"" tea in retailers"
309,"READ CLOSELY!!! This is instant coffee.  If you like instant coffee than you will like this.  If not, DO NOT BUY!!"
310,I love this Ghirardelli Mint Chocolate. Perfect for after dinner or dessert. It tastes just right.
311,The best almond flavor out there. How could something so delish be so good for you?
312,A good flavor but not bold in comparison to some of the other flavors and more salt!
313,Seems to Be Good Food - Dogs Like It.  Does have an Odor While Other Premium Foods Do Not.
314,"Love this gelatin, but i'm such a jello noob that i messed up the first time."
315,Fresh is Best Freeze Dried Chicken Hearts and Ducks Hearts are a Great Treat for your Cat or Dog
316,Very good coffee...love that it's organic and comes right to my door at a reasonable price!
317,i payed 52.00 dollars for 24 cans of green giant asparagus and received 8 cans! i want my asparagus!!!
318,"Can be hard to find, but it's a classic ingrediant in many of the ""tiki"" rum drinks"
319,"Sorry, this coffee rates a zeroTerrible.. Not a one star as shown  & tastes like burnt rubber  Dissapointed!"
320,MY one and only disappointment with AMAZON in all the years I have ordered from thewm
321,"The cat loves it, but it would be cheaper to buy tuna steaks and grill them for him"
322,B E S T......T E A......B U T.....W H Y....B U Y....A_N_Y.....B O T T L E D.....T E A......????
323,Now I can enjoy real New Orleans coffee and chicory just like I like it. C'est bon!
324,Seems to Be Good Food - Dogs Like It.  Does have an Odor While Other Premium Foods Do Not.
325,"If you enjoy the taste of chickory in your coffee, this is the way to go."
326,This product is great however the price of $9.32 must be a misprint.  It is available for around $3.50 on other websites.
327,"Advantages:  No salt, no scales, lower in calories, and no frightening arteries clinging to the bones"
328,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
329,C H I P.....C H I P.....H O O R A Y....!!!!!  :  )  ( B A C K Y A R D.....B A R B E C U E )
330,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
331,Seems to Be Good Food - Dogs Like It.  Does have an Odor While Other Premium Foods Do Not.
332,HELP! I HAVE NOT RECEIVED MY ORDER YET!! I HAVE TRACKED IT AND WILL CALL UPS TODAY TO SUBMIT A CLAIM...HELP
333,A Completely New Take on the Newton - Though the Classic Fig Newton Remains a Better Cookie
334,"It's a Newton and it's got fig, but it's no Fig Newton in the strict sense of the word"
335,"The naysayers overstate the 'problems', and the bottom line is, this stuff WORKS. No sugar, no crash. It's true."
